custid,gender,총구매액,구매건수,평균구매가격,평균할부개월수,구매브랜드종류,내점일수,수입상품_구매비율,주말방문비율,가을_구매건수,겨울_구매건수,봄_구매건수,여름_구매건수,아침_구매건수,저녁_구매건수,점심_구매건수,주구매코너
6888,1,1934100,14,138150,1.1,12,10,21.4,40.0,2.0,3.0,,9.0,2.0,6.0,6.0,유니캐주얼
6895,0,406000,7,58000,1.7,6,6,14.3,0.0,,2.0,2.0,3.0,,6.0,1.0,화장품
6931,1,1412500,11,128409,1.9,8,10,36.4,70.0,2.0,6.0,1.0,2.0,,4.0,7.0,캐릭터캐주얼
6948,0,642600,15,42840,1.4,12,13,13.3,61.5,1.0,1.0,9.0,4.0,,5.0,10.0,유니캐주얼
6953,0,8409339,88,95561,1.8,47,45,3.4,31.1,24.0,26.0,16.0,22.0,6.0,31.0,51.0,일반식품
6956,0,2322900,20,116145,1.8,15,10,20.0,60.0,3.0,12.0,1.0,4.0,,9.0,11.0,화장품
6959,0,345648,11,31423,1.0,9,10,18.2,50.0,,5.0,5.0,1.0,5.0,2.0,4.0,화장품
6961,0,1015000,17,59706,1.7,17,15,11.8,13.3,3.0,3.0,6.0,5.0,,10.0,7.0,유니캐주얼
6984,0,454000,5,90800,1.0,4,5,20.0,40.0,2.0,1.0,2.0,,1.0,,4.0,피혁B
6998,0,1326239,20,66312,1.1,17,14,0.0,64.3,6.0,5.0,3.0,6.0,3.0,7.0,10.0,일반식품
7031,0,529500,10,52950,1.8,7,6,10.0,33.3,,2.0,4.0,4.0,1.0,5.0,4.0,유아동복
7044,0,4030390,77,52343,1.7,35,56,11.7,58.9,23.0,19.0,20.0,15.0,2.0,33.0,42.0,화장품
7050,0,6193750,31,199798,1.8,17,21,25.8,23.8,6.0,12.0,9.0,4.0,6.0,4.0,21.0,화장품
7058,1,100000,2,50000,1.0,2,1,0.0,100.0,,2.0,,,2.0,,,섬유
7061,0,2023100,19,106479,2.1,16,12,10.5,75.0,3.0,2.0,8.0,6.0,,5.0,14.0,유니캐주얼
7088,0,1498465,32,46827,1.5,24,27,3.1,37.0,6.0,14.0,4.0,8.0,1.0,21.0,10.0,유니캐주얼
7094,0,29000,1,29000,1.0,1,1,0.0,100.0,,,,1.0,,,1.0,화장품
7106,0,1379000,13,106077,1.2,12,6,15.4,16.7,,,13.0,,2.0,2.0,9.0,화장품
7108,0,6002400,9,666933,3.6,5,6,11.1,50.0,1.0,3.0,5.0,,,2.0,7.0,캐릭터캐주얼
7111,0,62800,3,20933,1.0,2,3,33.3,33.3,,1.0,1.0,1.0,,1.0,2.0,일반식품
7132,0,4577926,59,77592,1.7,32,31,15.3,71.0,9.0,25.0,16.0,9.0,7.0,25.0,27.0,일반식품
7139,0,332890,9,36988,1.6,5,6,0.0,83.3,1.0,3.0,3.0,2.0,1.0,4.0,4.0,일반식품
7150,0,1971210,28,70400,2.1,13,20,7.1,35.0,2.0,10.0,13.0,3.0,4.0,12.0,12.0,영캐주얼
7158,0,4740110,35,135432,2.0,18,17,14.3,29.4,12.0,11.0,2.0,10.0,5.0,13.0,17.0,유아동복
7166,0,4135200,17,243247,2.4,12,7,23.5,42.9,,4.0,13.0,,,9.0,8.0,캐릭터캐주얼
7167,0,2966000,8,370750,1.2,7,6,50.0,50.0,1.0,3.0,3.0,1.0,,1.0,7.0,수입명품
7191,0,179200,2,89600,1.0,2,1,0.0,100.0,,,2.0,,,,2.0,피혁B
7224,0,949838,19,49991,1.4,8,14,0.0,14.3,,3.0,16.0,,4.0,12.0,3.0,유니캐주얼
7245,0,140000,1,140000,3.0,1,1,0.0,100.0,,,1.0,,,1.0,,화장품
7259,1,1052500,13,80962,2.5,13,10,15.4,70.0,,7.0,6.0,,1.0,4.0,8.0,유니캐주얼
7266,0,562770,17,33104,2.4,9,6,11.8,50.0,,,14.0,3.0,,9.0,8.0,일반식품
7288,0,868600,13,66815,2.5,8,7,7.7,42.9,3.0,1.0,4.0,5.0,,11.0,2.0,유니캐주얼
7290,0,2632368,43,61218,1.6,15,29,18.6,24.1,14.0,26.0,3.0,,5.0,23.0,15.0,일반식품
7311,0,50000,1,50000,1.0,1,1,100.0,100.0,,1.0,,,,,1.0,화장품
7319,0,11779585,72,163605,2.1,44,34,13.9,35.3,23.0,22.0,16.0,11.0,13.0,15.0,44.0,화장품
7346,0,551300,6,91883,2.0,6,6,33.3,16.7,1.0,3.0,1.0,1.0,,,6.0,화장품
7359,0,1533477,17,90205,1.2,9,13,0.0,53.8,1.0,9.0,4.0,3.0,8.0,1.0,8.0,일반식품
7367,1,1239000,8,154875,2.5,7,4,12.5,25.0,2.0,2.0,3.0,1.0,1.0,,7.0,스포츠
7369,0,1125600,34,33106,1.9,21,16,2.9,25.0,2.0,1.0,19.0,12.0,,26.0,8.0,영캐주얼
7375,0,88000,1,88000,1.0,1,1,100.0,0.0,,,,1.0,,,1.0,화장품
7384,1,859000,10,85900,1.4,7,7,10.0,71.4,,3.0,1.0,6.0,2.0,5.0,3.0,일반식품
7385,0,1925350,19,101334,1.7,19,15,10.5,40.0,2.0,2.0,9.0,6.0,,7.0,12.0,화장품
7405,0,123700,3,41233,1.7,2,3,66.7,0.0,1.0,,1.0,1.0,1.0,,2.0,화장품
7414,0,1410906,40,35273,1.6,10,17,5.0,23.5,10.0,28.0,2.0,,15.0,14.0,11.0,일반식품
7419,0,950110,16,59382,2.1,12,11,0.0,27.3,,8.0,2.0,6.0,1.0,4.0,11.0,섬유
7435,0,557000,6,92833,2.7,5,5,16.7,80.0,,4.0,,2.0,,,6.0,영캐주얼
7445,0,1569492,23,68239,1.3,11,9,4.3,44.4,6.0,3.0,,14.0,11.0,,12.0,일반식품
7456,0,1605300,12,133775,1.0,11,7,0.0,85.7,5.0,6.0,1.0,,,4.0,8.0,캐릭터캐주얼
7459,0,218500,5,43700,1.0,5,1,40.0,100.0,5.0,,,,,3.0,2.0,유니캐주얼
7462,0,2395247,37,64736,1.6,22,25,13.5,48.0,7.0,9.0,10.0,11.0,1.0,13.0,23.0,화장품
7481,0,1844838,33,55904,2.0,19,14,0.0,64.3,5.0,10.0,12.0,6.0,9.0,6.0,18.0,일반식품
7496,0,2344492,35,66985,1.8,20,23,5.7,34.8,14.0,2.0,14.0,5.0,17.0,3.0,15.0,유아동복
7501,0,1141150,19,60061,1.6,13,14,5.3,28.6,4.0,6.0,9.0,,2.0,4.0,13.0,유니캐주얼
7506,0,393220,5,78644,1.0,4,5,20.0,0.0,1.0,1.0,3.0,,4.0,,1.0,일반식품
7517,0,1576980,16,98561,1.8,15,10,12.5,70.0,3.0,,6.0,7.0,1.0,4.0,11.0,유니캐주얼
7519,0,439000,9,48778,1.0,6,4,44.4,75.0,3.0,1.0,,5.0,,2.0,7.0,화장품
7527,0,1623155,58,27985,1.4,26,41,10.3,14.6,16.0,24.0,9.0,9.0,18.0,21.0,19.0,일반식품
7528,0,847650,16,52978,1.9,13,11,6.2,27.3,3.0,7.0,4.0,2.0,3.0,4.0,9.0,영캐주얼
7539,0,1002217,26,38547,1.5,8,18,3.8,22.2,24.0,1.0,,1.0,10.0,,16.0,일반식품
7549,0,2616900,18,145383,1.6,15,13,22.2,15.4,1.0,11.0,1.0,5.0,4.0,2.0,12.0,화장품
7565,1,708900,16,44306,1.9,9,6,0.0,33.3,,4.0,12.0,,1.0,8.0,7.0,니트단품
7574,0,884500,12,73708,1.8,11,10,41.7,60.0,,4.0,5.0,3.0,1.0,7.0,4.0,화장품
7586,1,560800,5,112160,3.0,4,5,0.0,80.0,,3.0,2.0,,1.0,2.0,2.0,유니캐주얼
7587,0,1136434,17,66849,1.7,15,15,11.8,6.7,5.0,4.0,3.0,5.0,1.0,3.0,13.0,유니캐주얼
7596,0,3897900,65,59968,1.7,42,31,0.0,32.3,12.0,10.0,15.0,28.0,10.0,17.0,38.0,영캐주얼
7612,0,162600,2,81300,2.0,2,2,0.0,100.0,,2.0,,,,2.0,,정장셔츠
7625,0,1894100,25,75764,1.5,20,19,16.0,52.6,6.0,6.0,10.0,3.0,6.0,10.0,9.0,피혁B
7637,0,1149602,36,31933,1.3,17,24,2.8,33.3,4.0,16.0,8.0,8.0,1.0,22.0,13.0,일반식품
7659,0,1152000,13,88615,1.5,10,9,15.4,77.8,2.0,6.0,5.0,,,5.0,8.0,화장품
7679,0,3696189,38,97268,1.2,14,21,0.0,14.3,19.0,12.0,5.0,2.0,4.0,3.0,31.0,일반식품
7698,1,18920260,59,320682,1.0,38,28,22.0,53.6,1.0,21.0,30.0,7.0,23.0,6.0,30.0,가전
7716,0,1528200,6,254700,1.3,6,5,16.7,100.0,1.0,,1.0,4.0,1.0,3.0,2.0,장신구
7722,0,1072390,17,63082,1.0,11,12,5.9,50.0,4.0,4.0,9.0,,5.0,5.0,7.0,일반식품
7742,0,643800,13,49523,1.9,11,12,7.7,66.7,1.0,4.0,6.0,2.0,,7.0,6.0,캐릭터캐주얼
7747,0,267000,5,53400,1.0,4,4,0.0,25.0,,1.0,1.0,3.0,,2.0,3.0,정장셔츠
7748,0,209000,4,52250,1.5,4,3,0.0,33.3,,,2.0,2.0,,,4.0,장신구
7755,0,400600,16,25038,2.0,10,9,12.5,22.2,2.0,,1.0,13.0,,5.0,11.0,스포츠
7760,0,1225460,38,32249,1.3,29,22,7.9,36.4,6.0,12.0,12.0,8.0,3.0,9.0,26.0,유니캐주얼
7766,1,511000,6,85167,2.7,5,5,0.0,60.0,1.0,3.0,2.0,,,1.0,5.0,피혁A
7772,0,2135459,37,57715,2.0,13,14,13.5,35.7,10.0,3.0,18.0,6.0,3.0,12.0,22.0,일반식품
7799,0,1410640,34,41489,1.3,20,22,20.6,40.9,6.0,11.0,15.0,2.0,2.0,6.0,26.0,화장품
7808,0,935000,10,93500,2.0,7,2,10.0,50.0,,,10.0,,1.0,2.0,7.0,유니캐주얼
7810,0,5049450,38,132880,2.0,26,25,2.6,16.0,5.0,15.0,10.0,8.0,5.0,13.0,20.0,화장품
7819,0,1088200,10,108820,2.2,10,4,10.0,75.0,5.0,4.0,,1.0,,8.0,2.0,피혁B
7846,0,75000,1,75000,1.0,1,1,0.0,100.0,,,1.0,,,,1.0,화장품
7853,1,908000,3,302667,2.3,3,3,0.0,100.0,,1.0,1.0,1.0,,,3.0,캐릭터캐주얼
7869,0,2117359,33,64162,1.9,22,18,3.0,50.0,6.0,6.0,9.0,12.0,1.0,12.0,20.0,니트단품
7872,0,87000,1,87000,3.0,1,1,100.0,0.0,,1.0,,,,,1.0,화장품
7875,0,2109980,30,70333,1.5,17,20,20.0,35.0,2.0,10.0,15.0,3.0,10.0,9.0,11.0,유니캐주얼
7881,0,4123100,15,274873,8.2,14,10,20.0,40.0,1.0,5.0,8.0,1.0,1.0,12.0,2.0,캐릭터캐주얼
7896,0,870527,20,43526,1.5,15,9,5.0,33.3,,,9.0,11.0,5.0,,15.0,스포츠
7902,1,3864500,34,113662,2.3,19,19,11.8,73.7,3.0,13.0,17.0,1.0,1.0,9.0,24.0,캐릭터캐주얼
7941,0,1620641,11,147331,3.5,9,5,9.1,20.0,,,11.0,,,1.0,10.0,영캐주얼
7942,0,1062520,22,48296,1.5,14,12,13.6,41.7,5.0,10.0,7.0,,1.0,1.0,20.0,화장품
7944,0,11682259,54,216338,2.1,38,24,7.4,66.7,16.0,19.0,9.0,10.0,19.0,7.0,28.0,화장품
7950,0,372400,3,124133,2.3,3,2,0.0,100.0,,,,3.0,,2.0,1.0,캐릭터캐주얼
7995,0,201000,2,100500,2.0,2,2,0.0,50.0,1.0,,,1.0,,1.0,1.0,스포츠
8006,0,1229300,19,64700,1.8,16,11,5.3,36.4,10.0,,5.0,4.0,,8.0,11.0,스포츠
8008,0,2139500,35,61129,1.1,20,23,20.0,47.8,7.0,12.0,14.0,2.0,,20.0,15.0,유아동복
8009,0,974585,13,74968,1.9,11,8,0.0,62.5,1.0,4.0,1.0,7.0,1.0,6.0,6.0,피혁A
8033,0,71000,1,71000,1.0,1,1,100.0,100.0,1.0,,,,,1.0,,화장품
8034,0,521000,2,260500,2.5,2,2,50.0,0.0,,1.0,1.0,,,2.0,,수입명품
8040,0,6110500,61,100172,2.0,30,31,29.5,38.7,9.0,6.0,29.0,17.0,,24.0,37.0,화장품
8060,1,245580,10,24558,1.2,8,5,10.0,20.0,,3.0,1.0,6.0,,4.0,6.0,유아동복
8072,0,7673480,43,178453,2.2,32,22,30.2,45.5,21.0,1.0,13.0,8.0,9.0,7.0,27.0,피혁A
8081,0,5145182,54,95281,2.1,33,24,7.4,62.5,18.0,7.0,15.0,14.0,8.0,14.0,32.0,캐릭터캐주얼
8082,0,6099140,38,160504,1.1,30,20,18.4,35.0,6.0,5.0,19.0,8.0,2.0,8.0,28.0,화장품
8089,0,261000,3,87000,1.7,3,3,66.7,100.0,,1.0,,2.0,,1.0,2.0,화장품
8094,0,3350200,30,111673,2.2,22,17,26.7,29.4,8.0,6.0,5.0,11.0,1.0,5.0,24.0,화장품
8099,0,2908049,32,90877,2.4,19,18,12.5,27.8,18.0,,4.0,10.0,8.0,2.0,22.0,장신구
8114,0,1018000,9,113111,3.4,6,5,33.3,40.0,1.0,8.0,,,1.0,4.0,4.0,화장품
8115,0,937489,10,93749,1.0,7,9,20.0,22.2,7.0,,2.0,1.0,2.0,5.0,3.0,화장품
8123,0,1675400,12,139617,1.8,6,7,83.3,57.1,1.0,6.0,5.0,,,2.0,10.0,화장품
8128,0,2675200,27,99081,2.1,19,10,29.6,30.0,4.0,14.0,9.0,,,2.0,25.0,화장품
8144,0,1965600,28,70200,1.0,25,18,17.9,11.1,4.0,13.0,8.0,3.0,7.0,3.0,18.0,유니캐주얼
8148,0,87400,3,29133,1.0,3,2,33.3,0.0,,,2.0,1.0,1.0,,2.0,유아동복
8162,0,387756,10,38776,1.2,5,8,20.0,37.5,4.0,,3.0,3.0,3.0,4.0,3.0,일반식품
8170,0,2156700,15,143780,1.5,14,7,13.3,42.9,13.0,2.0,,,3.0,12.0,,캐릭터캐주얼
8180,0,1493000,9,165889,1.8,9,8,22.2,62.5,5.0,1.0,1.0,2.0,,3.0,6.0,유니캐주얼
8183,1,2005000,16,125312,1.5,11,9,6.2,77.8,6.0,5.0,2.0,3.0,2.0,5.0,9.0,정장셔츠
8197,0,8692100,37,234922,1.1,29,18,16.2,50.0,10.0,5.0,14.0,8.0,4.0,10.0,23.0,가구
8201,0,88000,1,88000,1.0,1,1,0.0,100.0,,1.0,,,,,1.0,화장품
8206,0,1555403,18,86411,1.1,13,9,16.7,44.4,2.0,,15.0,1.0,2.0,7.0,9.0,유아동복
8215,0,1132000,9,125778,1.7,9,6,0.0,16.7,,9.0,,,,3.0,6.0,스포츠
8221,0,5970336,29,205874,2.2,25,15,13.8,73.3,8.0,1.0,6.0,14.0,5.0,3.0,21.0,니트단품
8231,0,2126873,25,85075,1.2,14,21,28.0,23.8,9.0,5.0,1.0,10.0,2.0,4.0,19.0,일반식품
8244,0,1366120,17,80360,3.2,12,11,17.6,36.4,2.0,8.0,5.0,2.0,,7.0,10.0,일반식품
8270,0,505060,22,22957,1.0,12,13,13.6,46.2,3.0,10.0,4.0,5.0,5.0,9.0,8.0,화장품
8289,0,333900,7,47700,2.1,7,5,14.3,60.0,1.0,2.0,1.0,3.0,,2.0,5.0,화장품
8326,1,20346170,93,218776,2.4,54,44,21.5,40.9,24.0,18.0,8.0,43.0,30.0,15.0,48.0,엘레강스캐주얼
8353,0,4844706,33,146809,1.8,21,15,12.1,6.7,1.0,9.0,20.0,3.0,,9.0,24.0,일반식품
8365,0,6528700,47,138909,2.2,32,32,29.8,31.2,12.0,10.0,17.0,8.0,6.0,7.0,34.0,영캐주얼
8367,0,246000,10,24600,1.0,7,6,20.0,50.0,1.0,2.0,,7.0,,1.0,9.0,니트단품
8373,1,220000,2,110000,2.0,2,2,50.0,50.0,1.0,,,1.0,,1.0,1.0,스포츠
8406,0,4652000,21,221524,2.9,17,11,19.0,27.3,3.0,4.0,4.0,10.0,,1.0,20.0,영캐주얼
8416,0,195400,8,24425,2.2,5,5,12.5,60.0,6.0,2.0,,,1.0,5.0,2.0,유니캐주얼
8418,0,722040,7,103149,2.4,6,6,14.3,50.0,,,7.0,,1.0,4.0,2.0,일반식품
8424,1,1119000,6,186500,2.3,5,5,0.0,40.0,3.0,,1.0,2.0,,3.0,3.0,정장셔츠
8431,0,2378500,49,48541,1.9,22,24,14.3,29.2,7.0,,10.0,32.0,3.0,17.0,29.0,엘레강스캐주얼
8437,1,1392300,27,51567,1.5,15,10,3.7,30.0,1.0,16.0,2.0,8.0,7.0,1.0,19.0,화장품
8438,0,2032200,31,65555,1.6,26,22,12.9,31.8,5.0,8.0,11.0,7.0,1.0,9.0,21.0,화장품
8439,0,4233200,18,235178,2.7,15,10,38.9,60.0,4.0,3.0,3.0,8.0,2.0,1.0,15.0,수입명품
8447,0,3698500,45,82189,2.4,28,38,13.3,23.7,11.0,12.0,12.0,10.0,4.0,3.0,38.0,캐릭터캐주얼
8454,0,2956550,14,211182,1.5,12,10,42.9,10.0,2.0,1.0,1.0,10.0,1.0,2.0,11.0,화장품
8459,0,4809240,51,94299,2.3,36,24,15.7,91.7,17.0,6.0,14.0,14.0,4.0,15.0,32.0,영캐주얼
8477,0,12261860,124,98886,1.4,59,55,12.9,41.8,15.0,25.0,54.0,30.0,47.0,11.0,66.0,화장품
8480,0,1638620,11,148965,1.7,8,8,18.2,25.0,2.0,9.0,,,,2.0,9.0,장신구
8490,1,3164700,42,75350,2.0,30,30,23.8,50.0,6.0,15.0,9.0,12.0,3.0,9.0,30.0,화장품
8499,0,388400,10,38840,1.2,9,7,0.0,14.3,1.0,5.0,4.0,,,8.0,2.0,유니캐주얼
8506,0,187000,4,46750,1.0,4,3,25.0,100.0,1.0,,1.0,2.0,,2.0,2.0,스포츠
8510,0,1158400,10,115840,2.8,8,7,0.0,28.6,3.0,,3.0,4.0,2.0,3.0,5.0,화장품
8513,0,103000,1,103000,3.0,1,1,100.0,0.0,,,1.0,,,1.0,,화장품
8516,0,2324990,28,83035,3.4,14,13,0.0,69.2,6.0,,22.0,,3.0,11.0,14.0,피혁B
8522,0,392000,5,78400,1.4,5,3,40.0,33.3,,,5.0,,3.0,,2.0,화장품
8545,0,2174400,23,94539,2.0,16,13,30.4,61.5,5.0,8.0,2.0,8.0,1.0,4.0,18.0,일반식품
8594,0,287800,7,41114,1.9,5,5,85.7,60.0,2.0,2.0,1.0,2.0,,4.0,3.0,화장품
8596,1,4503756,56,80424,1.0,29,32,12.5,28.1,18.0,9.0,9.0,20.0,5.0,26.0,25.0,일반식품
8598,1,1185414,9,131713,1.4,7,7,0.0,71.4,,3.0,5.0,1.0,1.0,5.0,3.0,정장셔츠
8601,0,823600,3,274533,2.3,3,3,33.3,33.3,,1.0,,2.0,,1.0,2.0,화장품
8623,0,2613900,29,90134,1.8,20,19,10.3,21.1,7.0,2.0,3.0,17.0,8.0,3.0,18.0,화장품
8627,0,152000,3,50667,2.3,3,2,33.3,0.0,,3.0,,,,1.0,2.0,섬유
8629,0,184000,5,36800,1.0,4,3,20.0,66.7,,,5.0,,,2.0,3.0,화장품
8640,0,4569300,56,81595,1.5,36,28,21.4,50.0,11.0,7.0,26.0,12.0,6.0,28.0,22.0,화장품
8654,0,5436800,40,135920,1.1,30,11,2.5,63.6,3.0,3.0,32.0,2.0,5.0,16.0,19.0,화장품
8691,0,948878,39,24330,1.2,12,29,0.0,10.3,11.0,8.0,16.0,4.0,4.0,31.0,4.0,일반식품
8704,0,4066398,31,131174,1.7,12,16,0.0,18.8,4.0,18.0,9.0,,1.0,4.0,26.0,일반식품
8719,0,4877904,68,71734,1.6,25,24,19.1,50.0,13.0,9.0,16.0,30.0,10.0,3.0,55.0,일반식품
8724,0,115646,2,57823,1.0,2,1,0.0,0.0,,,2.0,,,,2.0,일반식품
8726,0,2372657,41,57870,1.3,24,25,19.5,44.0,9.0,10.0,9.0,13.0,5.0,8.0,28.0,일반식품
8731,1,1812966,47,38574,1.4,22,32,2.1,50.0,2.0,3.0,6.0,36.0,4.0,17.0,26.0,일반식품
8734,0,2220260,42,52863,1.0,30,29,2.4,44.8,5.0,14.0,12.0,11.0,2.0,19.0,21.0,유니캐주얼
8739,0,1383700,8,172962,2.5,8,5,12.5,20.0,,2.0,3.0,3.0,,2.0,6.0,캐릭터캐주얼
8772,0,1733000,28,61893,2.5,14,14,10.7,35.7,,17.0,4.0,7.0,1.0,9.0,18.0,유니캐주얼
8786,0,131000,2,65500,3.0,2,1,0.0,0.0,2.0,,,,,2.0,,피혁A
8792,0,258700,10,25870,1.8,8,8,10.0,75.0,2.0,,5.0,3.0,1.0,2.0,7.0,섬유
8794,0,2688700,16,168044,2.2,14,12,25.0,16.7,3.0,8.0,2.0,3.0,1.0,4.0,11.0,화장품
8829,1,551000,3,183667,3.0,3,3,66.7,33.3,,3.0,,,2.0,,1.0,일반식품
8858,0,1838338,30,61278,1.4,21,24,16.7,33.3,10.0,8.0,10.0,2.0,2.0,15.0,13.0,화장품
8863,1,5298390,72,73589,2.3,23,43,8.3,62.8,18.0,12.0,24.0,18.0,15.0,15.0,42.0,일반식품
8867,0,2506500,14,179036,3.9,10,4,21.4,0.0,3.0,3.0,8.0,,,14.0,,캐릭터캐주얼
8890,0,396900,7,56700,2.1,6,4,14.3,0.0,,,1.0,6.0,1.0,,6.0,캐릭터캐주얼
8891,0,795000,15,53000,1.1,11,11,26.7,9.1,,2.0,5.0,8.0,,8.0,7.0,화장품
8899,0,2011164,36,55866,1.4,28,24,16.7,20.8,2.0,13.0,11.0,10.0,2.0,24.0,10.0,도자기크리스탈
8927,0,2365600,21,112648,1.9,16,13,9.5,61.5,15.0,1.0,5.0,,1.0,6.0,14.0,정장셔츠
8937,0,283800,5,56760,1.8,4,3,0.0,66.7,,,3.0,2.0,,1.0,4.0,유니캐주얼
8945,0,1169600,20,58480,1.6,15,14,30.0,50.0,5.0,4.0,7.0,4.0,5.0,3.0,12.0,화장품
8950,0,8105480,63,128658,1.5,30,23,17.5,43.5,4.0,13.0,19.0,27.0,3.0,15.0,45.0,트래디셔널캐주얼
8959,0,1958256,53,36948,1.2,13,39,5.7,25.6,5.0,15.0,17.0,16.0,8.0,19.0,26.0,일반식품
8961,0,697369,25,27895,1.4,12,22,12.0,68.2,6.0,5.0,5.0,9.0,13.0,8.0,4.0,일반식품
8968,0,255650,4,63912,1.0,4,1,25.0,100.0,,4.0,,,,,4.0,유니캐주얼
8971,0,99520,2,49760,2.0,2,2,0.0,100.0,,,2.0,,,1.0,1.0,일반식품
8984,0,59000,1,59000,1.0,1,1,100.0,0.0,1.0,,,,,1.0,,화장품
8988,0,44000,1,44000,1.0,1,1,100.0,0.0,,,1.0,,,,1.0,화장품
9007,0,1666580,20,83329,2.0,19,8,15.0,37.5,8.0,3.0,3.0,6.0,3.0,12.0,5.0,섬유
9017,1,1875887,26,72150,1.9,15,14,7.7,50.0,11.0,3.0,8.0,4.0,9.0,2.0,15.0,유니캐주얼
9021,0,12882650,57,226011,1.4,18,44,5.3,31.8,8.0,12.0,19.0,18.0,2.0,35.0,20.0,캐릭터캐주얼
9022,0,4061800,28,145064,2.4,18,14,39.3,35.7,7.0,3.0,14.0,4.0,,1.0,27.0,화장품
9024,0,2849090,83,34326,1.0,44,53,0.0,24.5,23.0,18.0,18.0,24.0,15.0,31.0,37.0,일반식품
9026,0,2117201,53,39947,1.5,28,33,9.4,27.3,17.0,8.0,16.0,12.0,14.0,1.0,38.0,유아동복
9028,1,465444,14,33246,1.6,9,8,7.1,37.5,1.0,4.0,6.0,3.0,1.0,2.0,11.0,유아동복
9051,0,6632940,74,89634,1.9,42,30,25.7,86.7,15.0,24.0,16.0,19.0,12.0,4.0,58.0,화장품
9063,0,2251340,23,97884,2.0,10,17,26.1,29.4,4.0,3.0,12.0,4.0,,7.0,16.0,화장품
9077,0,463000,8,57875,1.2,4,6,62.5,33.3,1.0,6.0,1.0,,,2.0,6.0,화장품
9089,0,1104100,13,84931,2.5,8,6,0.0,100.0,8.0,5.0,,,,6.0,7.0,피혁B
9109,0,1745624,28,62344,2.2,12,20,3.6,25.0,4.0,4.0,20.0,,1.0,13.0,14.0,일반식품
9125,0,4061854,64,63466,1.5,31,41,3.1,36.6,,28.0,17.0,19.0,5.0,53.0,6.0,화장품
9128,0,84000,5,16800,1.8,4,3,20.0,0.0,,1.0,4.0,,,1.0,4.0,영캐주얼
9136,0,1121120,21,53387,1.2,14,12,9.5,16.7,,7.0,7.0,7.0,13.0,4.0,4.0,영캐주얼
9149,0,65000,1,65000,3.0,1,1,100.0,0.0,,,1.0,,,1.0,,화장품
9160,0,1241558,12,103463,1.2,8,9,8.3,33.3,2.0,2.0,1.0,7.0,,,12.0,캐릭터캐주얼
9191,0,477400,9,53044,1.9,6,7,44.4,42.9,2.0,5.0,2.0,,,4.0,5.0,화장품
9210,0,485000,3,161667,1.7,3,2,66.7,50.0,2.0,,,1.0,,3.0,,엘레강스캐주얼
9211,0,2178022,28,77786,1.9,17,20,7.1,40.0,6.0,5.0,2.0,15.0,11.0,6.0,11.0,영캐주얼
9212,0,397000,2,198500,2.0,2,2,0.0,100.0,1.0,,1.0,,,1.0,1.0,화장품
9214,0,561400,12,46783,2.0,9,6,8.3,33.3,3.0,1.0,8.0,,,3.0,9.0,니트단품
9219,0,85000,2,42500,1.0,2,2,0.0,50.0,,2.0,,,,1.0,1.0,화장품
9225,1,4236908,60,70615,1.9,32,37,8.3,45.9,16.0,15.0,7.0,22.0,3.0,17.0,40.0,화장품
9230,0,2571000,15,171400,2.2,11,9,20.0,44.4,3.0,,5.0,7.0,6.0,,9.0,화장품
9248,0,291700,6,48617,1.7,5,4,0.0,50.0,2.0,,2.0,2.0,,3.0,3.0,장신구
9258,0,1259662,37,34045,1.1,23,23,13.5,21.7,16.0,5.0,14.0,2.0,1.0,11.0,25.0,유아동복
9278,1,633100,6,105517,2.7,6,5,16.7,60.0,2.0,,1.0,3.0,1.0,,5.0,유니캐주얼
9284,1,483200,8,60400,1.0,6,7,0.0,85.7,2.0,2.0,2.0,2.0,1.0,3.0,4.0,유니캐주얼
9294,1,5649660,35,161419,2.2,22,17,8.6,70.6,13.0,1.0,12.0,9.0,5.0,9.0,21.0,캐릭터캐주얼
9302,0,1424500,11,129500,2.3,8,6,9.1,33.3,,,1.0,10.0,1.0,,10.0,화장품
9310,0,11960700,73,163845,3.4,30,40,2.7,25.0,21.0,19.0,25.0,8.0,2.0,52.0,19.0,캐릭터캐주얼
9320,0,2222400,21,105829,1.2,18,19,23.8,36.8,8.0,8.0,3.0,2.0,9.0,1.0,11.0,화장품
9323,0,3728904,22,169496,2.4,11,14,0.0,50.0,11.0,1.0,4.0,6.0,4.0,11.0,7.0,일반식품
9326,0,3901860,46,84823,2.0,30,27,17.4,48.1,10.0,3.0,8.0,25.0,1.0,28.0,17.0,영캐주얼
9329,0,5669200,69,82162,2.3,23,36,42.0,41.7,17.0,21.0,20.0,11.0,8.0,41.0,20.0,화장품
9330,0,624050,5,124810,1.4,4,4,20.0,25.0,3.0,2.0,,,,,5.0,일반식품
9333,0,7081200,47,150664,1.6,25,18,44.7,66.7,16.0,5.0,11.0,15.0,1.0,19.0,27.0,화장품
9341,0,95670,3,31890,1.0,2,3,66.7,33.3,1.0,1.0,1.0,,1.0,,2.0,화장품
9369,0,4183450,65,64361,1.7,39,28,9.2,17.9,24.0,14.0,11.0,16.0,1.0,5.0,59.0,섬유
9378,0,3871123,45,86025,1.4,26,34,15.6,29.4,10.0,12.0,10.0,13.0,4.0,16.0,25.0,캐릭터캐주얼
9381,0,9647590,60,160793,1.7,40,25,8.3,56.0,27.0,16.0,5.0,12.0,7.0,24.0,29.0,유아동복
